timestamp,pos_x,pos_y,pos_z,rot_e_x,rot_e_y,rot_e_z
2022-10-20-20-13-55,0.3611612,0.5834633,-0.5583713,22.37169,4.319859,2.956557
2022-10-20-20-13-56,0.3492435,0.5896748,-0.5626363,23.35416,2.778887,3.587115
2022-10-20-20-13-57,0.3364966,0.5799391,-0.5621652,25.58097,1.778211,3.927189
2022-10-20-20-13-57,0.3244552,0.5806524,-0.5671411,25.21372,357.7079,3.152369
2022-10-20-20-13-58,0.2407016,0.5651681,-0.6702418,27.55489,330.7502,3.923609
2022-10-20-20-13-59,0.147439,0.5601116,-0.7750323,28.01491,306.7493,3.016738
2022-10-20-20-14-0,-0.02754304,0.5493462,-0.8883987,29.02384,285.3433,2.106428
2022-10-20-20-14-1,-0.2110685,0.5315903,-0.85936,32.154,270.146,1.2411
2022-10-20-20-14-1,-0.5553906,0.4999984,-0.9486662,36.80443,263.6089,0.5021845
2022-10-20-20-14-2,-0.8920419,0.4628077,-1.003914,42.74584,256.5756,359.5524
2022-10-20-20-14-3,-1.236238,0.3874457,-1.147772,54.81628,258.4824,358.1259
2022-10-20-20-14-4,-1.524654,0.2947844,-1.207494,66.64564,249.3727,349.5989
2022-10-20-20-14-5,-1.72458,0.1479734,-1.319073,77.14271,252.7573,344.3515
2022-10-20-20-14-5,-1.77361,-0.00671047,-1.347215,82.34765,248.849,341.3842
2022-10-20-20-14-6,-1.78253,-0.01632261,-1.34348,82.45818,247.7631,339.3246
2022-10-20-20-14-7,-1.783811,-0.02065182,-1.338392,82.4686,250.7091,342.4062
2022-10-20-20-14-8,-1.781856,-0.01302922,-1.335858,81.07027,253.7139,347.0492
2022-10-20-20-14-9,-1.719801,0.2484985,-1.354497,59.13767,241.2488,355.3291
2022-10-20-20-14-9,-1.655509,0.4501255,-1.495946,31.995,216.6897,357.7273
2022-10-20-20-14-10,-1.704756,0.4996714,-1.734689,20.13833,197.6665,359.3726
2022-10-20-20-14-11,-1.788574,0.5233615,-2.100102,19.77791,190.3586,0.9601935
2022-10-20-20-14-12,-1.860575,0.5320191,-2.498997,20.78904,180.2686,1.140554
2022-10-20-20-14-13,-1.844335,0.5564904,-2.932681,19.05633,178.2687,359.7299
2022-10-20-20-14-13,-1.802155,0.5686527,-3.350438,18.65296,173.4404,2.458594
2022-10-20-20-14-14,-1.649291,0.5825366,-3.743826,16.01715,162.6686,3.151614
2022-10-20-20-14-15,-1.387526,0.6016597,-4.029907,17.22626,133.5381,4.997965
2022-10-20-20-14-16,-1.0573,0.6158664,-4.165594,18.08433,104.4919,5.18858
2022-10-20-20-14-17,-0.6456834,0.6243671,-4.196126,16.55706,98.52267,3.658166
2022-10-20-20-14-17,-0.167275,0.6311789,-4.19588,15.96178,93.63012,4.235388
2022-10-20-20-14-18,0.3100716,0.6456507,-4.196214,18.3609,92.84336,3.921484
2022-10-20-20-14-19,0.8365899,0.6449735,-4.183593,17.83422,95.04282,1.653372
2022-10-20-20-14-20,1.338255,0.6309878,-4.216636,21.60383,92.80438,3.65204
2022-10-20-20-14-21,1.851531,0.6164154,-4.21977,29.10013,92.71423,0.9421186
2022-10-20-20-14-21,2.335052,0.5266708,-4.232898,48.16049,104.5433,356.4
2022-10-20-20-14-22,2.701655,0.4406198,-4.452209,60.93766,124.0885,346.0723
2022-10-20-20-14-23,2.817529,0.3109323,-4.61061,71.03004,155.8816,347.7889
2022-10-20-20-14-24,2.815952,0.137126,-4.678224,77.1516,158.274,342.1378
2022-10-20-20-14-25,2.819283,0.1068728,-4.681945,78.62917,162.7057,344.9121
2022-10-20-20-14-25,2.814012,0.09340206,-4.679683,80.16518,163.2596,344.0826
2022-10-20-20-14-26,2.814277,0.03040385,-4.689685,81.3491,160.2126,340.7878
2022-10-20-20-14-27,2.80992,0.02732885,-4.686621,82.60713,159.6533,339.3124
2022-10-20-20-14-28,2.785382,0.1323317,-4.66732,78.7281,166.081,342.0619
2022-10-20-20-14-29,2.538791,0.3651247,-4.581172,65.18427,219.7305,358.6332
2022-10-20-20-14-29,2.107409,0.5601878,-4.385545,37.90502,266.7122,2.90637
2022-10-20-20-14-30,1.869378,0.6541892,-4.36992,23.32795,275.0314,356.6176
2022-10-20-20-14-31,1.498667,0.6869771,-4.281542,18.95694,274.8255,358.0861
2022-10-20-20-14-32,1.026772,0.6754003,-4.226146,17.16075,276.532,356.8979
2022-10-20-20-14-33,0.5003998,0.6911727,-4.252867,17.19175,274.7171,358.0143
2022-10-20-20-14-33,-0.04395837,0.6826496,-4.263737,14.34092,273.5161,359.6395
2022-10-20-20-14-34,-0.6230425,0.671268,-4.274635,13.05532,279.3369,359.2422
2022-10-20-20-14-35,-1.172686,0.6617426,-4.201157,17.48025,293.0481,357.7947
2022-10-20-20-14-36,-1.638624,0.6593391,-3.931874,15.42028,311.0285,359.4225
2022-10-20-20-14-37,-1.917263,0.6595455,-3.583246,14.72857,337.7379,359.0764
2022-10-20-20-14-37,-2.097459,0.6443805,-3.192562,16.39886,357.9283,359.3005
2022-10-20-20-14-38,-2.118817,0.620877,-2.753304,17.88635,4.023231,1.156048
2022-10-20-20-14-39,-2.11074,0.5970405,-2.186979,15.26898,9.546983,0.5008438
2022-10-20-20-14-40,-2.06747,0.5621797,-1.630941,17.82293,10.61525,3.075415
2022-10-20-20-14-41,-1.982683,0.5470785,-1.152867,19.13026,357.8111,4.884083
2022-10-20-20-14-41,-2.131013,0.5131097,-0.7930324,18.99909,322.8902,5.009117
2022-10-20-20-14-42,-2.423182,0.4843805,-0.6140088,19.55544,288.8547,3.889264
2022-10-20-20-14-43,-2.740385,0.4830528,-0.5478157,19.09663,260.1168,3.541876
2022-10-20-20-14-44,-3.090069,0.4852259,-0.7029212,16.56026,228.9356,1.195669
2022-10-20-20-14-45,-3.265355,0.4933841,-0.9429694,14.00587,195.7708,2.143524
2022-10-20-20-14-45,-3.381897,0.5127957,-1.286875,13.22435,180.6909,1.159786
2022-10-20-20-14-46,-3.375637,0.5355415,-1.73583,12.96104,179.2065,359.1663
2022-10-20-20-14-47,-3.381485,0.4979002,-2.297866,21.60805,177.2176,359.8689
2022-10-20-20-14-48,-3.357142,0.4937792,-2.84924,25.7591,179.5491,0.2917826
2022-10-20-20-14-49,-3.313194,0.4907868,-3.362497,30.55977,181.5146,359.8949
2022-10-20-20-14-49,-3.313995,0.4388529,-3.866369,40.34974,180.4121,0.816421
2022-10-20-20-14-50,-3.317746,0.3810377,-4.344803,50.81304,180.4048,359.3033
2022-10-20-20-14-51,-3.300187,0.2696176,-4.71792,61.57177,183.0914,1.798412
2022-10-20-20-14-52,-3.326458,0.02821082,-4.910216,72.86851,179.1602,0.4536432
2022-10-20-20-14-53,-3.359085,-0.07838225,-4.982313,78.27189,174.8534,354.1801
2022-10-20-20-14-53,-3.365258,-0.09425807,-5.002095,80.3503,181.0704,1.190774
2022-10-20-20-14-54,-3.36072,-0.09596026,-5.037948,83.55823,183.6607,4.037061
2022-10-20-20-14-55,-3.362058,-0.09841609,-5.043756,84.20664,181.3645,1.028491
2022-10-20-20-14-56,-3.358713,-0.1024799,-5.042828,84.25878,183.1551,3.199537
2022-10-20-20-14-57,-3.352342,-0.04787743,-5.011229,80.75916,178.4909,358.8971
2022-10-20-20-14-57,-3.343113,0.196269,-4.846555,69.8606,154.7404,357.0786
2022-10-20-20-14-58,-3.329398,0.4006267,-4.446051,47.85366,106.8144,3.033163
2022-10-20-20-14-59,-3.495656,0.5294278,-4.049376,29.05941,44.68505,4.22861
2022-10-20-20-15-0,-3.523093,0.5736426,-3.79639,20.33749,17.44614,3.004499
2022-10-20-20-15-1,-3.487343,0.5681306,-3.497048,16.28917,1.069326,5.375403
2022-10-20-20-15-1,-3.517823,0.5592841,-3.014735,13.92163,1.297181,1.961863
