timestamp,name,gt_pos_x,gt_pos_y,gt_pos_z,gt_rot_e_x,gt_rot_e_y,gt_rot_e_z,c_pos_x,c_pos_y,c_pos_z,c_rot_e_x,c_rot_e_y,c_rot_e_z
2022-10-20-20-14-4,img_1,-1.925,-0.715,-1.41,0,0,0,-1.875669,-0.7077217,-1.377135,1.660771,1.297919,2.085525
2022-10-20-20-14-5,img_1,-1.925,-0.715,-1.41,0,0,0,-1.879077,-0.707579,-1.37415,1.374416,1.339642,2.478735
2022-10-20-20-14-5,img_1,-1.925,-0.715,-1.41,0,0,0,-1.885096,-0.7111847,-1.375357,1.069874,1.430355,3.018188
2022-10-20-20-14-6,img_1,-1.925,-0.715,-1.41,0,0,0,-1.881133,-0.7057513,-1.374611,1.239124,1.38002,2.529302
2022-10-20-20-14-7,img_1,-1.925,-0.715,-1.41,0,0,0,-1.880823,-0.7035172,-1.375452,1.109927,1.419838,2.652289
2022-10-20-20-14-8,img_1,-1.925,-0.715,-1.41,0,0,0,-1.881305,-0.7051207,-1.376645,0.6888048,1.361158,1.804596
2022-10-20-20-14-9,img_1,-1.925,-0.715,-1.41,0,0,0,-1.837468,-0.4755987,-1.369676,331.6024,356.7587,29.62119
2022-10-20-20-14-22,img_2,3.075,-0.715,-4.91,0,0,0,2.797008,-0.4973997,-4.728623,359.2971,0.04183123,1.627889
2022-10-20-20-14-23,img_2,3.075,-0.715,-4.91,0,0,0,2.80218,-0.5026762,-4.734396,359.1232,0.2714245,2.482035
2022-10-20-20-14-24,img_2,3.075,-0.715,-4.91,0,0,0,2.80532,-0.5089474,-4.73903,359.5438,0.3879415,0.4832261
2022-10-20-20-14-25,img_2,3.075,-0.715,-4.91,0,0,0,2.806075,-0.5081625,-4.739084,0.1931809,0.3200423,0.944352
2022-10-20-20-14-25,img_2,3.075,-0.715,-4.91,0,0,0,2.806694,-0.5064986,-4.740026,0.4738697,0.3397187,1.211599
2022-10-20-20-14-26,img_2,3.075,-0.715,-4.91,0,0,0,2.80605,-0.5076638,-4.739268,0.6184326,0.3313311,1.311943
2022-10-20-20-14-27,img_2,3.075,-0.715,-4.91,0,0,0,2.806879,-0.504339,-4.739765,0.3500536,0.3064377,1.501321
2022-10-20-20-14-28,img_2,3.075,-0.715,-4.91,0,0,0,2.806419,-0.5040108,-4.739365,1.351704,0.4612861,0.03433731
2022-10-20-20-14-51,img_3,-3.425,-0.715,-5.41,0,0,0,-3.378314,-0.6565046,-5.069068,0.2104044,0.9448525,0.8977801
2022-10-20-20-14-52,img_3,-3.425,-0.715,-5.41,0,0,0,-3.376298,-0.6506733,-5.086528,359.9311,0.8774846,1.215645
2022-10-20-20-14-53,img_3,-3.425,-0.715,-5.41,0,0,0,-3.374457,-0.6557493,-5.103806,0.05223176,0.9239634,0.8112772
2022-10-20-20-14-53,img_3,-3.425,-0.715,-5.41,0,0,0,-3.374774,-0.6557239,-5.105366,359.5912,0.957143,0.8443391
2022-10-20-20-14-54,img_3,-3.425,-0.715,-5.41,0,0,0,-3.375784,-0.6544709,-5.099774,359.5369,0.9194092,1.368696
2022-10-20-20-14-55,img_3,-3.425,-0.715,-5.41,0,0,0,-3.376131,-0.6555874,-5.100745,359.791,0.8989572,1.764529
