identifier,pos x,pos y,pos z,status
1440,0.1466843,0.2088143,-0.5883857,success
1593,0.1531525,0.1923747,-0.5911074,success
1830,0.1553761,0.188921,-0.598926,success
206,0.2045725,0.04855765,-0.56718,success
2009,0.1704342,0.1811472,-0.603951,success
17,0.204181,0.047892,-0.6110734,success
138,0.2160413,0.04421021,-0.6071634,success
142,0.2161693,0.04388289,-0.5922822,success
252,0.2064702,0.04598033,-0.6205896,success
432,0.2092138,0.04522087,-0.6171985,success
1058,0.2030299,0.05089426,-0.6285853,success
1400,0.2060544,0.04336113,-0.5817986,success
42,0.2314427,0.04506664,-0.5980138,success
48,0.2194386,0.04065651,-0.628431,success
58,0.2478264,0.04231429,-0.5907585,success
133,0.2157978,0.04002431,-0.6242405,success
134,0.2161741,0.04368898,-0.6258589,success
135,0.2676368,0.03855568,-0.5517967,success
148,0.2212069,0.04098584,-0.6300378,success
157,0.2267951,0.04134101,-0.6208836,success
196,0.2494944,0.04179431,-0.5869855,success
251,0.2084074,0.04129978,-0.6245807,success
304,0.2679763,0.03940886,-0.5352899,success
362,0.261893,0.0408507,-0.5662529,success
858,0.2347139,0.04168588,-0.5905707,success
956,0.2672181,0.04197603,-0.5382143,success
989,0.2310045,0.04334372,-0.6148229,success
1386,0.218472,0.04144084,-0.6093382,success
1522,0.2091479,0.03504886,-0.5972567,success
1542,0.2193501,0.0371471,-0.5771443,success
1677,0.2225772,0.04389323,-0.5685723,success
1692,0.2308429,0.04131615,-0.5666316,success
4,0.28859,0.03104749,-0.5491581,success
54,0.2527637,0.03398281,-0.622781,success
102,0.2907644,0.03350663,-0.5770112,success
621,0.2554247,0.03471026,-0.6204953,success
965,0.2704827,0.03095943,-0.6033095,success
971,0.2549391,0.03299607,-0.6188738,success
1100,0.2688958,0.03345823,-0.5872222,success
1128,0.2809401,0.03781907,-0.5950153,success
1392,0.2241352,0.03440279,-0.6476086,success
1675,0.2713669,0.03426491,-0.5655789,success
1803,0.2122167,0.03201874,-0.5905058,success
1836,0.2145815,0.03085639,-0.6020702,success
74,0.2746999,0.02765234,-0.6118687,success
1538,0.2281548,0.02309664,-0.6158574,success
1768,0.2602519,0.02420574,-0.5629396,success
87,0.2934847,0.02482454,-0.5982832,success
106,0.3158132,0.02425499,-0.5509531,success
1814,0.2545649,0.0280382,-0.6364948,success
1887,0.2634622,0.01761669,-0.6086309,success
2076,0.2303212,0.01618385,-0.5952349,success
2027,0.2848274,0.0142912,-0.5785057,success
2119,0.2162644,0.01681691,-0.6093606,success
2136,0.2187289,0.009590551,-0.5753803,success
2456,0.2174928,0.02169842,-0.5660755,success
2405,0.2189327,0.04533516,-0.598511,success
2816,0.1940897,0.0792032,-0.5800194,success
3159,0.1737476,0.1800443,-0.6097035,success
3344,0.170882,0.1842566,-0.598374,success
3026,0.2259513,0.08985241,-0.5855784,success
3035,0.1951682,0.07471344,-0.5919787,success
3846,0.1580723,0.193107,-0.5983743,success
2742,0.2053912,0.07073334,-0.6082432,success
86,0.1914752,0.15782,-0.6295323,success
2000,0.2668884,0.06306158,-0.5864341,success
2438,0.2372738,0.06221741,-0.60135,success
2516,0.236594,0.05016533,-0.5845739,success
2593,0.2232968,0.06380147,-0.6043933,success
2674,0.1973671,0.06718306,-0.6206994,success
2731,0.2230603,0.05948818,-0.6097618,success
3163,0.2488916,0.06447697,-0.5950504,success
3262,0.2175865,0.06073469,-0.6179323,success
3280,0.2352839,0.06167874,-0.6030034,success
3336,0.2133016,0.0629884,-0.5697304,success
3360,0.2086028,0.06320484,-0.5956901,success
3431,0.2111134,0.05577311,-0.568395,success
4051,0.1692073,0.1860393,-0.6002583,success
69,0.2537579,0.05487561,-0.6158083,success
109,0.2967708,0.06618272,-0.6127185,success
326,0.2998689,0.06693546,-0.6140448,success
2289,0.2112237,0.05521764,-0.626941,success
2628,0.2640359,0.05541319,-0.6022521,success
2802,0.2681797,0.05414975,-0.6091172,success
2839,0.2962178,0.06702016,-0.5844719,success
2992,0.2957972,0.05060352,-0.5589386,success
3093,0.2274859,0.05001061,-0.6249077,success
3592,0.2124415,0.06064044,-0.5674853,success
5,0.3067505,0.05370398,-0.6388173,success
108,0.3052812,0.055123,-0.6281617,success
156,0.3050842,0.05665605,-0.6186581,success
286,0.3071594,0.05710524,-0.6307011,success
1437,0.309188,0.05515712,-0.6207716,success
2277,0.2737842,0.04628673,-0.62438,success
2831,0.2470741,0.04647304,-0.6476763,success
